,항목,대덕구,오정동,대화동,회덕동,비래동,송촌동,중리동,법1동,법2동,신탄진동,석봉동,덕암동,목상동
합계,계,"175,046","14,506","6,944","12,271","16,215","27,150","19,567","13,100","15,966","12,825","16,303","13,725","6,474"
합계,남,"88,989","7,698","3,662","6,224","8,068","13,388","10,162","6,186","7,807","6,636","8,347","7,295","3,516"
합계,여,"86,057","6,808","3,282","6,047","8,147","13,762","9,405","6,914","8,159","6,189","7,956","6,430","2,958"
0세,계,760,50,19,35,49,131,69,93,42,48,135,63,26
0세,남,385,27,12,14,29,55,33,52,25,22,73,29,14
0세,여,375,23,7,21,20,76,36,41,17,26,62,34,12
1세,계,767,47,15,40,51,111,57,78,59,49,155,74,31
1세,남,400,28,6,21,25,58,28,42,36,24,75,40,17
1세,여,367,19,9,19,26,53,29,36,23,25,80,34,14
2세,계,889,45,15,48,70,140,79,86,78,56,157,74,41
2세,남,437,23,5,20,41,60,45,44,38,27,80,36,18
2세,여,452,22,10,28,29,80,34,42,40,29,77,38,23
3세,계,898,43,18,62,71,150,68,79,80,67,181,49,30
3세,남,430,15,12,30,39,69,28,40,32,32,93,22,18
3세,여,468,28,6,32,32,81,40,39,48,35,88,27,12
4세,계,985,62,20,52,75,171,83,84,92,56,181,75,34
4세,남,505,37,8,27,36,84,46,35,48,33,104,38,9
4세,여,480,25,12,25,39,87,37,49,44,23,77,37,25
5세,계,"1,123",57,32,71,105,191,107,65,100,63,223,61,48
5세,남,526,20,18,32,56,88,42,31,46,27,109,35,22
5세,여,597,37,14,39,49,103,65,34,54,36,114,26,26
6세,계,"1,177",73,30,55,96,221,88,89,112,87,213,74,39
6세,남,592,36,15,30,45,113,46,40,56,45,107,38,21
6세,여,585,37,15,25,51,108,42,49,56,42,106,36,18
7세,계,"1,233",55,30,77,110,238,103,87,108,78,232,68,47
7세,남,663,32,19,38,50,126,58,46,61,41,125,36,31
7세,여,570,23,11,39,60,112,45,41,47,37,107,32,16
8세,계,"1,290",71,34,78,106,247,108,90,103,79,236,81,57
8세,남,672,41,17,39,55,124,62,44,56,35,124,42,33
8세,여,618,30,17,39,51,123,46,46,47,44,112,39,24
9세,계,"1,397",83,44,79,124,292,125,90,106,90,225,88,51
9세,남,707,43,22,40,57,154,64,33,58,43,119,50,24
9세,여,690,40,22,39,67,138,61,57,48,47,106,38,27
10세,계,"1,424",89,41,83,124,298,143,91,106,82,206,107,54
10세,남,731,51,23,46,61,151,74,49,52,46,102,57,19
10세,여,693,38,18,37,63,147,69,42,54,36,104,50,35
11세,계,"1,420",83,40,87,139,320,134,91,111,96,166,90,63
11세,남,738,40,21,52,72,157,79,46,62,42,89,44,34
11세,여,682,43,19,35,67,163,55,45,49,54,77,46,29
12세,계,"1,397",89,43,92,135,308,133,94,121,70,160,89,63
12세,남,766,51,27,53,77,160,74,49,73,42,85,50,25
12세,여,631,38,16,39,58,148,59,45,48,28,75,39,38
13세,계,"1,501",95,48,90,142,351,140,106,127,88,144,106,64
13세,남,753,50,23,41,78,164,76,49,66,44,75,56,31
13세,여,748,45,25,49,64,187,64,57,61,44,69,50,33
14세,계,"1,611",103,58,92,167,361,168,100,152,102,128,113,67
14세,남,855,59,36,49,87,180,90,58,80,56,65,59,36
14세,여,756,44,22,43,80,181,78,42,72,46,63,54,31
15세,계,"1,503",67,36,102,142,412,136,99,123,102,122,119,43
15세,남,793,36,19,58,76,206,68,51,68,71,62,57,21
15세,여,710,31,17,44,66,206,68,48,55,31,60,62,22
16세,계,"1,496",78,41,96,138,344,159,99,167,96,131,109,38
16세,남,774,39,20,49,68,180,87,49,79,56,66,57,24
16세,여,722,39,21,47,70,164,72,50,88,40,65,52,14
17세,계,"1,728",94,45,105,196,411,178,104,172,89,148,123,63
17세,남,940,66,29,52,116,214,98,51,90,48,72,74,30
17세,여,788,28,16,53,80,197,80,53,82,41,76,49,33
18세,계,"1,843",107,57,89,192,463,161,107,205,121,137,153,51
18세,남,939,52,34,44,107,245,89,46,93,65,69,68,27
18세,여,904,55,23,45,85,218,72,61,112,56,68,85,24
19세,계,"1,863",162,57,111,203,361,201,107,174,134,134,147,72
19세,남,952,89,29,51,99,172,97,58,98,67,75,81,36
19세,여,911,73,28,60,104,189,104,49,76,67,59,66,36
20세,계,"2,202",188,66,124,222,469,248,142,223,130,155,168,67
20세,남,"1,135",77,38,67,105,259,131,68,112,74,89,78,37
20세,여,"1,067",111,28,57,117,210,117,74,111,56,66,90,30
21세,계,"2,368",235,64,125,218,482,262,151,247,140,171,188,85
21세,남,"1,271",92,43,67,112,268,117,93,152,76,101,112,38
21세,여,"1,097",143,21,58,106,214,145,58,95,64,70,76,47
22세,계,"2,439",267,89,128,198,435,305,160,227,162,176,206,86
22세,남,"1,348",138,46,68,116,235,162,81,133,99,92,128,50
22세,여,"1,091",129,43,60,82,200,143,79,94,63,84,78,36
23세,계,"2,505",277,78,144,235,424,281,178,239,175,170,205,99
23세,남,"1,376",140,47,95,120,234,146,90,138,94,100,118,54
,여,"1,129",137,31,49,115,190,135,88,101,81,70,87,45
24세,계,"2,515",271,76,129,247,416,304,186,204,179,186,211,106
,남,"1,363",172,36,59,125,196,178,106,121,86,111,115,58
,여,"1,152",99,40,70,122,220,126,80,83,93,75,96,48
25세,계,"2,479",239,86,151,211,425,324,175,214,174,178,201,101
,남,"1,376",153,41,83,113,234,180,97,119,95,101,104,56
,여,"1,103",86,45,68,98,191,144,78,95,79,77,97,45
26세,계,"2,501",230,98,156,247,359,345,173,186,189,181,235,102
,남,"1,382",130,56,74,126,197,202,100,107,112,90,133,55
,여,"1,119",100,42,82,121,162,143,73,79,77,91,102,47
27세,계,"2,381",227,66,129,185,367,326,171,189,162,211,237,111
,남,"1,333",132,40,70,111,199,190,92,98,92,100,142,67
,여,"1,048",95,26,59,74,168,136,79,91,70,111,95,44
28세,계,"2,345",213,78,153,182,295,307,168,181,198,240,223,107
,남,"1,359",134,52,88,113,159,180,88,94,116,129,132,74
,여,986,79,26,65,69,136,127,80,87,82,111,91,33
29세,계,"2,362",198,91,161,208,304,287,170,190,184,227,241,101
,남,"1,358",125,60,94,116,170,169,78,113,103,117,146,67
,여,"1,004",73,31,67,92,134,118,92,77,81,110,95,34
30세,계,"2,221",170,82,117,196,268,291,164,165,194,249,211,114
,남,"1,216",101,47,61,111,140,174,68,83,108,123,130,70
,여,1005,69,35,56,85,128,117,96,82,86,126,81,44
31세,계,"2,034",170,95,133,139,231,253,165,151,173,230,192,102
,남,"1,186",109,59,83,82,131,150,96,75,98,107,133,63
,여,848,61,36,50,57,100,103,69,76,75,123,59,39
32세,계,"1,944",164,61,106,136,215,223,166,148,189,254,170,112
,남,"1,070",96,37,66,70,100,127,80,77,115,129,99,74
,여,874,68,24,40,66,115,96,86,71,74,125,71,38
33세,계,"1,899",147,70,114,149,248,202,161,144,142,253,166,103
,남,"1,062",76,38,64,89,118,117,93,71,96,136,103,61
,여,837,71,32,50,60,130,85,68,73,46,117,63,42
34세,계,"1,855",137,67,107,164,237,195,152,144,145,276,158,73
,남,"1,033",74,40,52,94,134,120,75,79,92,134,93,46
,여,822,63,27,55,70,103,75,77,65,53,142,65,27
35세,계,"1,873",166,68,117,140,230,203,166,122,142,294,143,82
,남,1025,94,29,67,76,125,110,95,66,81,149,83,50
,여,848,72,39,50,64,105,93,71,56,61,145,60,32
36세,계,"1,890",130,76,106,141,254,197,162,133,141,304,159,87
,남,"1,022",73,40,62,79,125,113,78,78,74,158,85,57
,여,868,57,36,44,62,129,84,84,55,67,146,74,30
37세,계,"1,879",132,77,122,147,261,173,146,143,148,288,137,105
,남,997,69,33,60,81,120,99,77,74,88,139,83,74
,여,882,63,44,62,66,141,74,69,69,60,149,54,31
38세,계,"2,081",134,76,112,176,317,246,157,158,157,308,146,94
,남,"1,115",77,36,63,86,165,125,87,84,91,172,72,57
,여,966,57,40,49,90,152,121,70,74,66,136,74,37
39세,계,"2,265",159,102,148,199,326,222,146,191,158,328,183,103
,남,"1,214",101,50,78,112,159,124,75,96,87,162,113,57
,여,"1,051",58,52,70,87,167,98,71,95,71,166,70,46
40세,계,"2,462",154,109,160,207,399,264,183,182,178,317,200,109
,남,"1,311",91,61,79,104,179,154,94,96,99,177,113,64
,여,"1,151",63,48,81,103,220,110,89,86,79,140,87,45
41세,계,"2,344",159,101,144,207,365,258,172,182,143,324,175,114
,남,"1,189",81,63,70,95,160,136,83,97,68,180,91,65
,여,"1,155",78,38,74,112,205,122,89,85,75,144,84,49
42세,계,"2,424",185,99,133,224,430,260,166,203,138,286,169,131
,남,"1,290",104,52,76,117,199,145,99,95,77,164,87,75
,여,"1,134",81,47,57,107,231,115,67,108,61,122,82,56
43세,계,"2,252",159,85,136,220,402,264,134,160,163,257,169,103
,남,"1,151",91,49,72,112,184,127,66,79,85,143,86,57
,여,"1,101",68,36,64,108,218,137,68,81,78,114,83,46
44세,계,"2,388",173,93,157,197,444,250,162,199,146,271,188,108
,남,"1,226",98,55,92,94,205,130,72,91,78,153,105,53
,여,"1,162",75,38,65,103,239,120,90,108,68,118,83,55
45세,계,"2,451",186,92,151,220,450,282,144,219,156,228,209,114
,남,"1,234",106,46,80,109,195,162,65,106,76,122,99,68
,여,"1,217",80,46,71,111,255,120,79,113,80,106,110,46
46세,계,"2,615",206,97,174,223,478,317,169,216,208,239,188,100
,남,"1,299",109,58,91,110,203,156,84,95,105,129,100,59
,여,"1,316",97,39,83,113,275,161,85,121,103,110,88,41
47세,계,"2,924",197,114,180,290,562,336,176,276,197,244,231,121
,남,"1,538",116,66,87,144,269,197,97,119,111,125,137,70
,여,"1,386",81,48,93,146,293,139,79,157,86,119,94,51
48세,계,"3,178",212,110,213,321,567,389,211,270,206,270,272,137
,남,"1,588",125,59,110,164,241,202,102,117,108,134,151,75
,여,"1,590",87,51,103,157,326,187,109,153,98,136,121,62
49세,계,"3,119",234,122,207,289,608,353,190,280,202,255,271,108
,남,"1,574",139,74,115,138,264,194,76,116,121,118,156,63
,여,"1,545",95,48,92,151,344,159,114,164,81,137,115,45
50세,계,"3,423",222,152,240,360,670,390,241,289,220,268,241,130
,남,"1,732",127,88,124,167,311,220,98,142,103,136,144,72
,여,"1,691",95,64,116,193,359,170,143,147,117,132,97,58
51세,계,"3,463",252,139,214,330,653,380,259,338,221,288,253,136
,남,"1,777",147,76,124,183,316,211,112,154,112,144,130,68
,여,"1,686",105,63,90,147,337,169,147,184,109,144,123,68
