,항목,중구,은행선화동,목동,중촌동,대흥동,문창동,석교동,대사동,부사동,용두동,오류동,태평1동,태평2동,유천1동,유천2동,문화1동,문화2동,산성동
합계,계,"230,341","15,644","14,379","12,527","13,752","4,699","15,622","5,474","6,748","9,465","10,577","13,291","25,613","6,555","13,711","22,378","12,631","27,275"
,남,"113,507","8,034","6,880","6,084","6,815","2,455","7,859","2,652","3,406","4,585","4,980","6,446","12,313","3,427","6,783","10,793","6,125","13,870"
,여,"116,834","7,610","7,499","6,443","6,937","2,244","7,763","2,822","3,342","4,880","5,597","6,845","13,300","3,128","6,928","11,585","6,506","13,405"
0세,계,920,93,67,37,43,21,51,10,19,46,61,54,101,40,46,118,37,76
,남,484,36,44,14,27,14,26,7,14,24,31,23,61,21,26,59,21,36
,여,436,57,23,23,16,7,25,3,5,22,30,31,40,19,20,59,16,40
1세,계,937,64,73,49,56,12,40,16,26,37,57,69,104,36,58,92,44,104
,남,503,33,36,19,35,7,22,10,18,20,34,41,52,22,22,48,25,59
,여,434,31,37,30,21,5,18,6,8,17,23,28,52,14,36,44,19,45
2세,계,"1,066",84,82,53,66,20,61,13,19,46,53,90,117,31,71,117,40,103
,남,525,45,38,26,29,10,32,5,13,18,24,49,55,23,31,52,20,55
,여,541,39,44,27,37,10,29,8,6,28,29,41,62,8,40,65,20,48
3세,계,"1,133",100,82,52,70,10,68,21,32,36,66,82,123,32,64,135,54,106
,남,541,45,41,29,33,7,38,13,16,17,28,46,58,12,27,59,26,46
,여,592,55,41,23,37,3,30,8,16,19,38,36,65,20,37,76,28,60
4세,계,"1,349",79,122,54,90,13,66,14,33,56,72,118,162,43,92,154,53,128
,남,699,44,64,30,50,11,32,7,16,30,29,58,78,22,48,93,25,62
,여,650,35,58,24,40,2,34,7,17,26,43,60,84,21,44,61,28,66
5세,계,"1,469",86,150,72,96,10,60,23,27,52,70,124,186,33,81,186,57,156
,남,748,34,77,37,58,7,27,13,13,21,29,71,101,20,45,100,29,66
,여,721,52,73,35,38,3,33,10,14,31,41,53,85,13,36,86,28,90
6세,계,"1,663",85,170,90,103,18,85,13,36,56,54,142,233,28,109,241,57,143
,남,884,37,87,44,63,8,51,8,21,27,29,76,121,16,64,133,30,69
,여,779,48,83,46,40,10,34,5,15,29,25,66,112,12,45,108,27,74
7세,계,"1,655",87,192,60,97,16,77,14,34,49,64,123,241,23,107,217,76,178
,남,824,45,99,28,53,9,42,6,19,21,32,65,108,9,50,113,35,90
,여,831,42,93,32,44,7,35,8,15,28,32,58,133,14,57,104,41,88
8세,계,"1,737",80,180,77,98,22,76,10,22,72,64,146,254,19,95,261,74,187
,남,888,40,97,44,46,9,38,6,12,39,28,76,134,9,46,137,36,91
,여,849,40,83,33,52,13,38,4,10,33,36,70,120,10,49,124,38,96
9세,계,"1,954",96,234,86,108,23,94,26,40,59,67,133,281,33,116,257,96,205
,남,"1,003",45,108,42,54,14,45,15,18,28,41,76,146,23,64,128,51,105
,여,951,51,126,44,54,9,49,11,22,31,26,57,135,10,52,129,45,100
10세,계,"1,983",86,281,85,113,19,99,25,45,48,65,161,263,32,90,259,103,209
,남,"1,038",36,137,35,60,9,57,19,30,23,33,86,154,15,46,140,47,111
,여,945,50,144,50,53,10,42,6,15,25,32,75,109,17,44,119,56,98
11세,계,"1,960",102,230,97,125,26,117,28,39,54,61,150,265,24,89,254,85,214
,남,989,46,110,54,69,14,59,17,25,23,30,73,131,13,48,132,43,102
,여,971,56,120,43,56,12,58,11,14,31,31,77,134,11,41,122,42,112
12세,계,"1,850",84,249,104,82,36,69,20,24,67,66,129,261,27,79,275,84,194
,남,938,43,118,57,32,20,38,9,15,26,36,59,134,14,31,143,53,110
,여,912,41,131,47,50,16,31,11,9,41,30,70,127,13,48,132,31,84
13세,계,"2,080",92,258,119,120,33,109,16,35,59,67,168,303,29,75,291,99,207
,남,"1,085",43,140,68,59,15,56,13,15,27,28,80,153,16,39,164,49,120
,여,995,49,118,51,61,18,53,3,20,32,39,88,150,13,36,127,50,87
14세,계,"2,174",91,279,108,116,31,95,32,42,73,80,168,332,31,69,305,102,220
,남,"1,127",43,134,55,66,18,46,19,24,31,39,87,171,17,38,158,59,122
,여,"1,047",48,145,53,50,13,49,13,18,42,41,81,161,14,31,147,43,98
15세,계,"2,029",90,247,101,89,31,100,25,31,64,76,149,291,36,95,277,91,236
,남,"1,026",54,113,53,44,18,50,15,21,30,42,70,147,21,55,118,48,127
,여,"1,003",36,134,48,45,13,50,10,10,34,34,79,144,15,40,159,43,109
16세,계,"2,021",90,216,109,100,33,95,21,51,68,84,151,283,31,110,274,95,210
,남,"1,015",42,104,63,52,23,45,13,28,27,41,69,140,15,56,137,52,108
,여,"1,006",48,112,46,48,10,50,8,23,41,43,82,143,16,54,137,43,102
17세,계,"2,134",100,229,105,113,22,116,29,44,79,80,151,295,28,95,281,131,236
,남,"1,104",45,118,51,69,14,60,10,22,38,42,84,137,19,48,149,75,123
,여,"1,030",55,111,54,44,8,56,19,22,41,38,67,158,9,47,132,56,113
18세,계,"2,396",106,242,130,125,27,132,30,47,93,97,162,366,39,122,294,117,267
,남,"1,261",51,132,72,67,11,66,18,17,44,44,75,198,26,69,164,66,141
,여,"1,135",55,110,58,58,16,66,12,30,49,53,87,168,13,53,130,51,126
19세,계,"2,321",130,216,134,109,34,137,29,67,96,85,158,307,45,125,279,117,253
,남,"1,233",75,110,64,60,16,71,17,41,51,44,65,164,29,74,155,59,138
,여,"1,088",55,106,70,49,18,66,12,26,45,41,93,143,16,51,124,58,115
20세,계,"2,652",163,209,146,132,37,156,43,81,99,118,157,368,55,139,304,144,301
,남,"1,386",79,105,86,73,23,85,21,40,36,57,96,192,30,71,161,77,154
,여,"1,266",84,104,60,59,14,71,22,41,63,61,61,176,25,68,143,67,147
