자치구별,성별,소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95세 이상+
소계,계,9501528,258523,335174,352442,384431,647961,836224,733556,718380,709929,752846,780114,718575,727734,545908,398468,288219,187643,87992,29896,7513
소계,남자,4597665,133121,171740,181190,194736,298266,404583,365601,361303,354239,372958,381526,350150,343898,255271,182811,129213,77664,30062,7689,1644
소계,여자,4903863,125402,163434,171252,189695,349695,431641,367955,357077,355690,379888,398588,368425,383836,290637,215657,159006,109979,57930,22207,5869
종로구,계,149705,2921,4101,4601,6576,14103,14545,10782,9643,9839,11240,12536,11793,11276,8258,6047,5122,3714,1772,658,178
종로구,남자,72057,1463,2045,2305,3388,6105,7346,5457,4799,4818,5522,6105,5929,5479,4020,2677,2162,1513,661,205,58
종로구,여자,77648,1458,2056,2296,3188,7998,7199,5325,4844,5021,5718,6431,5864,5797,4238,3370,2960,2201,1111,453,120
중구,계,127427,3338,3325,2948,3679,9959,12316,11019,10270,8951,8888,10188,10061,10082,7615,5520,4323,2912,1392,526,115
중구,남자,61301,1705,1734,1472,1688,4361,5912,5476,5244,4625,4484,5025,4933,4890,3623,2523,1848,1144,432,152,30
중구,여자,66126,1633,1591,1476,1991,5598,6404,5543,5026,4326,4404,5163,5128,5192,3992,2997,2475,1768,960,374,85
용산구,계,225647,6896,7533,6791,7567,14562,20737,20586,19268,17129,17443,18572,16891,16144,11645,8523,6792,4964,2572,799,233
용산구,남자,108748,3491,3874,3426,3803,6311,9808,10388,9821,8658,8651,9107,8356,7816,5454,3826,2854,1923,877,229,75
용산구,여자,116899,3405,3659,3365,3764,8251,10929,10198,9447,8471,8792,9465,8535,8328,6191,4697,3938,3041,1695,570,158
성동구,계,287580,9761,9767,8455,9946,21473,26380,23624,24056,21267,21294,23326,22175,21668,15184,11263,8547,5751,2611,828,204
성동구,남자,139643,5016,4941,4323,4770,10178,13254,11325,12148,10885,10499,11345,10938,10638,7178,5124,3702,2255,875,205,44
성동구,여자,147937,4745,4826,4132,5176,11295,13126,12299,11908,10382,10795,11981,11237,11030,8006,6139,4845,3496,1736,623,160
