,항목,유성구,진잠동,학하동,상대동,온천1동,온천2동,노은1동,노은2동,노은3동,신성동,전민동,구즉동,관평동,원신흥동
합계,계,"351,277","25,118","17,045","22,014","26,734","40,014","21,827","24,367","37,318","26,086","27,016","27,291","28,750","27,697"
,남,"177,463","12,867","8,798","10,731","13,788","20,802","10,843","11,976","18,289","13,661","13,848","13,968","14,685","13,207"
,여,"173,814","12,251","8,247","11,283","12,946","19,212","10,984","12,391","19,029","12,425","13,168","13,323","14,065","14,490"
0세,계,"2,317",108,173,137,97,224,158,129,293,217,214,151,144,272
,남,"1,192",63,92,70,51,105,78,66,150,102,103,82,76,154
,여,"1,125",45,81,67,46,119,80,63,143,115,111,69,68,118
1세,계,"2,428",126,149,156,104,268,144,151,321,234,199,172,161,243
,남,"1,290",62,77,79,61,141,78,89,159,135,105,90,83,131
,여,"1,138",64,72,77,43,127,66,62,162,99,94,82,78,112
2세,계,"2,743",147,182,220,103,287,142,169,362,268,215,194,205,249
,남,"1,425",78,87,119,51,149,71,96,185,133,112,96,115,133
,여,"1,318",69,95,101,52,138,71,73,177,135,103,98,90,116
3세,계,"2,933",167,147,209,96,329,186,189,427,263,239,169,242,270
,남,"1,502",97,76,101,49,159,95,97,210,146,113,87,135,137
,여,"1,431",70,71,108,47,170,91,92,217,117,126,82,107,133
4세,계,"3,346",186,168,284,90,372,180,225,501,310,232,216,290,292
,남,"1,719",98,86,138,43,175,98,127,254,160,130,107,156,147
,여,"1,627",88,82,146,47,197,82,98,247,150,102,109,134,145
5세,계,"3,696",222,210,293,93,374,209,249,520,329,241,258,346,352
,남,"1,902",111,102,150,54,198,109,134,261,163,120,136,181,183
,여,"1,794",111,108,143,39,176,100,115,259,166,121,122,165,169
6세,계,"3,986",232,209,384,82,430,242,239,566,322,287,261,392,340
,남,"2,023",132,108,194,42,225,134,114,273,155,159,122,191,174
,여,"1,963",100,101,190,40,205,108,125,293,167,128,139,201,166
7세,계,"3,870",231,183,312,73,357,268,266,583,299,268,303,414,313
,남,"1,995",122,97,159,31,178,150,125,304,167,137,155,203,167
,여,"1,875",109,86,153,42,179,118,141,279,132,131,148,211,146
8세,계,"3,801",222,180,322,58,346,264,289,571,289,297,268,373,322
,남,"1,911",97,94,150,25,168,134,137,298,162,164,149,162,171
,여,"1,890",125,86,172,33,178,130,152,273,127,133,119,211,151
9세,계,"4,009",228,184,363,76,371,276,289,548,313,289,285,428,359
,남,"2,102",111,90,184,38,194,145,154,292,173,168,140,217,196
,여,"1,907",117,94,179,38,177,131,135,256,140,121,145,211,163
